DATE,CPIAUCSL,GDPC1
1947-01-01,21.7000000000000000,2034.45
1947-04-01,22.0100000000000000,2029.024
1947-07-01,22.4900000000000000,2024.834
1947-10-01,23.1266666666666667,2056.508
1948-01-01,23.6166666666666667,2087.442
1948-04-01,23.9933333333333333,2121.899
1948-07-01,24.3966666666666667,2134.056
1948-10-01,24.1733333333333333,2136.44
1949-01-01,23.9433333333333333,2107.001
1949-04-01,23.9166666666666667,2099.814
1949-07-01,23.7166666666666667,2121.493
1949-10-01,23.6600000000000000,2103.688
1950-01-01,23.5866666666666667,2186.365
1950-04-01,23.7666666666666667,2253.045
1950-07-01,24.2033333333333333,2340.112
1950-10-01,24.6933333333333333,2384.92
1951-01-01,25.6966666666666667,2417.311
1951-04-01,25.9466666666666667,2459.196
1951-07-01,25.9333333333333333,2509.88
1951-10-01,26.3166666666666667,2515.408
1952-01-01,26.4166666666666667,2542.286
1952-04-01,26.4866666666666667,2547.762
1952-07-01,26.6666666666666667,2566.153
1952-10-01,26.6966666666666667,2650.431
1953-01-01,26.6200000000000000,2699.699
1953-04-01,26.7200000000000000,2720.566
1953-07-01,26.8433333333333333,2705.258
1953-10-01,26.8900000000000000,2664.302
1954-01-01,26.9533333333333333,2651.566
1954-04-01,26.9100000000000000,2654.456
1954-07-01,26.8400000000000000,2684.434
1954-10-01,26.7566666666666667,2736.96
1955-01-01,26.7933333333333333,2815.134
1955-04-01,26.7566666666666667,2860.942
1955-07-01,26.7766666666666667,2899.578
1955-10-01,26.8566666666666667,2916.985
1956-01-01,26.8600000000000000,2905.656
1956-04-01,27.0366666666666667,2929.666
1956-07-01,27.3166666666666667,2927.034
1956-10-01,27.5500000000000000,2975.209
1957-01-01,27.7766666666666667,2994.259
1957-04-01,28.0133333333333333,2987.699
1957-07-01,28.2633333333333333,3016.979
1957-10-01,28.4000000000000000,2985.775
1958-01-01,28.7366666666666667,2908.281
1958-04-01,28.9300000000000000,2927.395
1958-07-01,28.9133333333333333,2995.112
1958-10-01,28.9433333333333333,3065.141
1959-01-01,28.9933333333333333,3123.978
1959-04-01,29.0433333333333333,3194.429
1959-07-01,29.1933333333333333,3196.683
1959-10-01,29.3700000000000000,3205.79
1960-01-01,29.3966666666666667,3277.847
1960-04-01,29.5733333333333333,3260.177
1960-07-01,29.5900000000000000,3276.133
1960-10-01,29.7800000000000000,3234.087
1961-01-01,29.8400000000000000,3255.914
1961-04-01,29.8300000000000000,3311.181
1961-07-01,29.9466666666666667,3374.742
1961-10-01,29.9900000000000000,3440.924
1962-01-01,30.1066666666666667,3502.298
1962-04-01,30.2200000000000000,3533.947
1962-07-01,30.3066666666666667,3577.362
1962-10-01,30.3800000000000000,3589.128
1963-01-01,30.4766666666666667,3628.306
1963-04-01,30.5333333333333333,3669.02
1963-07-01,30.7200000000000000,3749.681
1963-10-01,30.8033333333333333,3774.264
1964-01-01,30.9300000000000000,3853.835
1964-04-01,30.9800000000000000,3895.793
1964-07-01,31.0500000000000000,3956.657
1964-10-01,31.1933333333333333,3968.878
1965-01-01,31.2900000000000000,4064.915
1965-04-01,31.4900000000000000,4116.267
1965-07-01,31.5833333333333333,4207.782
1965-10-01,31.7500000000000000,4304.731
1966-01-01,32.0466666666666667,4409.518
1966-04-01,32.3366666666666667,4424.581
1966-07-01,32.6166666666666667,4462.053
1966-10-01,32.8833333333333333,4498.66
1967-01-01,32.9666666666666667,4538.498
1967-04-01,33.1666666666666667,4541.28
1967-07-01,33.5000000000000000,4584.246
1967-10-01,33.8666666666666667,4618.812
1968-01-01,34.2000000000000000,4713.013
1968-04-01,34.5333333333333333,4791.758
1968-07-01,35.0000000000000000,4828.892
1968-10-01,35.4333333333333333,4847.885
1969-01-01,35.8666666666666667,4923.76
1969-04-01,36.4333333333333333,4938.728
1969-07-01,36.9333333333333333,4971.349
1969-10-01,37.5000000000000000,4947.104
1970-01-01,38.1000000000000000,4939.759
1970-04-01,38.6333333333333333,4946.77
1970-07-01,39.0333333333333333,4992.357
1970-10-01,39.6000000000000000,4938.857
1971-01-01,39.9333333333333333,5072.996
1971-04-01,40.3000000000000000,5100.447
1971-07-01,40.7000000000000000,5142.422
1971-10-01,41.0000000000000000,5154.547
1972-01-01,41.3333333333333333,5249.337
1972-04-01,41.6000000000000000,5368.485
1972-07-01,41.9333333333333333,5419.184
1972-10-01,42.3666666666666667,5509.926
1973-01-01,43.0333333333333333,5646.286
1973-04-01,43.9333333333333333,5707.755
1973-07-01,44.8000000000000000,5677.738
1973-10-01,45.9333333333333333,5731.632
1974-01-01,47.3000000000000000,5682.353
1974-04-01,48.5666666666666667,5695.859
1974-07-01,49.9333333333333333,5642.025
1974-10-01,51.4666666666666667,5620.126
1975-01-01,52.5666666666666667,5551.713
1975-04-01,53.2000000000000000,5591.382
1975-07-01,54.2666666666666667,5687.087
1975-10-01,55.2666666666666667,5763.665
1976-01-01,55.9000000000000000,5893.276
1976-04-01,56.4000000000000000,5936.515
1976-07-01,57.3000000000000000,5969.089
1976-10-01,58.1333333333333333,6012.356
1977-01-01,59.2000000000000000,6083.391
1977-04-01,60.2333333333333333,6201.659
1977-07-01,61.0666666666666667,6313.559
1977-10-01,61.9666666666666667,6313.697
1978-01-01,63.0333333333333333,6333.848
1978-04-01,64.4666666666666667,6578.605
1978-07-01,65.9666666666666667,6644.754
1978-10-01,67.5000000000000000,6734.069
1979-01-01,69.2000000000000000,6746.176
1979-04-01,71.4000000000000000,6753.389
1979-07-01,73.7000000000000000,6803.558
1979-10-01,76.0333333333333333,6820.572
1980-01-01,79.0333333333333333,6842.024
1980-04-01,81.7000000000000000,6701.046
1980-07-01,83.2333333333333333,6693.082
1980-10-01,85.5666666666666667,6817.903
1981-01-01,87.9333333333333333,6951.495
1981-04-01,89.7666666666666667,6899.98
1981-07-01,92.2666666666666667,6982.609
1981-10-01,93.7666666666666667,6906.529
1982-01-01,94.6000000000000000,6799.233
1982-04-01,95.9666666666666667,6830.251
1982-07-01,97.6333333333333333,6804.139
1982-10-01,97.9333333333333333,6806.857
1983-01-01,98.0000000000000000,6896.561
1983-04-01,99.1333333333333333,7053.5
1983-07-01,100.1000000000000000,7194.504
1983-10-01,101.1000000000000000,7344.597
1984-01-01,102.5333333333333333,7488.167
1984-04-01,103.5000000000000000,7617.547
1984-07-01,104.4000000000000000,7690.985
1984-10-01,105.3000000000000000,7754.117
1985-01-01,106.2666666666666667,7829.26
1985-04-01,107.2333333333333333,7898.194
1985-07-01,107.9000000000000000,8018.809
1985-10-01,109.0000000000000000,8078.415
1986-01-01,109.5666666666666667,8153.829
1986-04-01,109.0333333333333333,8190.552
1986-07-01,109.7000000000000000,8268.935
1986-10-01,110.4666666666666667,8313.338
1987-01-01,111.8000000000000000,8375.274
1987-04-01,113.0666666666666667,8465.63
1987-07-01,114.2666666666666667,8539.075
1987-10-01,115.3333333333333333,8685.694
1988-01-01,116.2333333333333333,8730.569
1988-04-01,117.5666666666666667,8845.28
1988-07-01,119.0000000000000000,8897.107
1988-10-01,120.3000000000000000,9015.661
1989-01-01,121.6666666666666667,9107.314
1989-04-01,123.6333333333333333,9176.827
1989-07-01,124.6000000000000000,9244.816
1989-10-01,125.8666666666666667,9263.033
1990-01-01,128.0333333333333333,9364.259
1990-04-01,129.3000000000000000,9398.243
1990-07-01,131.5333333333333333,9404.494
1990-10-01,133.7666666666666667,9318.876
1991-01-01,134.7666666666666667,9275.276
1991-04-01,135.5666666666666667,9347.597
1991-07-01,136.6000000000000000,9394.834
1991-10-01,137.7333333333333333,9427.581
1992-01-01,138.6666666666666667,9540.444
1992-04-01,139.7333333333333333,9643.893
1992-07-01,140.8000000000000000,9739.185
1992-10-01,142.0333333333333333,9840.753
1993-01-01,143.0666666666666667,9857.185
1993-04-01,144.1000000000000000,9914.565
1993-07-01,144.7666666666666667,9961.873
1993-10-01,145.9666666666666667,10097.362
1994-01-01,146.7000000000000000,10195.338
1994-04-01,147.5333333333333333,10333.495
1994-07-01,148.9000000000000000,10393.898
1994-10-01,149.7666666666666667,10512.962
1995-01-01,150.8666666666666667,10550.251
1995-04-01,152.1000000000000000,10581.723
1995-07-01,152.8666666666666667,10671.738
1995-10-01,153.7000000000000000,10744.203
1996-01-01,155.0666666666666667,10824.674
1996-04-01,156.4000000000000000,11005.217
1996-07-01,157.3000000000000000,11103.935
1996-10-01,158.6666666666666667,11219.238
1997-01-01,159.6333333333333333,11291.665
1997-04-01,160.0000000000000000,11479.33
1997-07-01,160.8000000000000000,11622.911
1997-10-01,161.6666666666666667,11722.722
1998-01-01,162.0000000000000000,11839.876
1998-04-01,162.5333333333333333,11949.492
1998-07-01,163.3666666666666667,12099.191
1998-10-01,164.1333333333333333,12294.737
1999-01-01,164.7333333333333333,12410.778
1999-04-01,165.9666666666666667,12514.408
1999-07-01,167.2000000000000000,12679.977
1999-10-01,168.4333333333333333,12888.281
2000-01-01,170.1000000000000000,12935.252
2000-04-01,171.4333333333333333,13170.749
2000-07-01,173.0000000000000000,13183.89
2000-10-01,174.2333333333333333,13262.25
2001-01-01,175.9000000000000000,13219.251
2001-04-01,177.1333333333333333,13301.394
2001-07-01,177.6333333333333333,13248.142
2001-10-01,177.5000000000000000,13284.881
2002-01-01,178.0666666666666667,13394.91
2002-04-01,179.4666666666666667,13477.356
2002-07-01,180.4333333333333333,13531.741
2002-10-01,181.5000000000000000,13549.421
2003-01-01,183.3666666666666667,13619.434
2003-04-01,183.0666666666666667,13741.107
2003-07-01,184.4333333333333333,13970.157
2003-10-01,185.1333333333333333,14131.379
2004-01-01,186.7000000000000000,14212.34
2004-04-01,188.1666666666666667,14323.017
2004-07-01,189.3666666666666667,14457.832
2004-10-01,191.4000000000000000,14605.595
2005-01-01,192.3666666666666667,14767.846
2005-04-01,193.6666666666666667,14839.707
2005-07-01,196.6000000000000000,14956.291
2005-10-01,198.4333333333333333,15041.232
2006-01-01,199.4666666666666667,15244.088
2006-04-01,201.2666666666666667,15281.525
2006-07-01,203.1666666666666667,15304.517
2006-10-01,202.3333333333333333,15433.643
2007-01-01,204.3170000000000000,15478.956
2007-04-01,206.6310000000000000,15577.779
2007-07-01,207.9390000000000000,15671.605
2007-10-01,210.4896666666666667,15767.146
2008-01-01,212.7696666666666667,15702.906
2008-04-01,215.5376666666666667,15792.773
2008-07-01,218.8610000000000000,15709.562
2008-10-01,213.8486666666666667,15366.607
2009-01-01,212.3776666666666667,15187.475
2009-04-01,213.5070000000000000,15161.772
2009-07-01,215.3440000000000000,15216.647
2009-10-01,217.0300000000000000,15379.155
2010-01-01,217.3740000000000000,15456.059
2010-04-01,217.2973333333333333,15605.628
2010-07-01,217.9343333333333333,15726.282
2010-10-01,219.6990000000000000,15807.995
2011-01-01,222.0436666666666667,15769.911
2011-04-01,224.5683333333333333,15876.839
2011-07-01,226.0326666666666667,15870.684
2011-10-01,227.0473333333333333,16048.702
2012-01-01,228.3260000000000000,16179.968
2012-04-01,228.8080000000000000,16253.726
2012-07-01,229.8410000000000000,16282.151
2012-10-01,231.3693333333333333,16300.035
2013-01-01,232.2993333333333333,16441.485
2013-04-01,232.0450000000000000,16464.402
2013-07-01,233.3000000000000000,16594.743
2013-10-01,234.1626666666666667,16712.76
2014-01-01,235.6210000000000000,16654.247
2014-04-01,236.8723333333333333,16868.109
2014-07-01,237.4783333333333333,17064.616
2014-10-01,236.8883333333333333,17141.235
2015-01-01,235.3550000000000000,17280.647
2015-04-01,236.9600000000000000,17380.875
2015-07-01,237.8550000000000000,17437.08
2015-10-01,237.8370000000000000,17462.579
2016-01-01,237.6893333333333333,17565.465
2016-04-01,239.5903333333333333,17618.581
2016-07-01,240.6073333333333333,17724.489
2016-10-01,242.1346666666666667,17812.56
2017-01-01,243.8386666666666667,17896.623
2017-04-01,244.1200000000000000,17996.802
2017-07-01,245.2870000000000000,18126.226
2017-10-01,247.2383333333333333,18296.685
2018-01-01,249.2543333333333333,18436.262
2018-04-01,250.6810000000000000,18590.004
2018-07-01,251.7703333333333333,18679.599
2018-10-01,252.6900000000000000,18721.281
2019-01-01,253.2926666666666667,18833.195
2019-04-01,255.2830000000000000,18982.528
2019-07-01,256.2250000000000000,19112.653
2019-10-01,257.7853333333333333,19202.31
2020-01-01,258.6180000000000000,18951.992
2020-04-01,256.4183333333333333,17258.205
2020-07-01,259.4376666666666667,18560.774
2020-10-01,260.8790000000000000,18767.778
2021-01-01,263.5246666666666667,19055.655
2021-04-01,268.7603333333333333,19368.31
2021-07-01,273.1633333333333333,19478.893
2021-10-01,278.4133333333333333,19806.29
2022-01-01,284.6076666666666667,19727.918
2022-04-01,291.8216666666666667,.
